No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
43862,2015,1,2,13,4,9,25,16,26,-18,17,1030,5,NE,12.07,0,0
43863,2015,1,2,14,4,12,21,21,26,-19,15,1029,5,SE,1.79,0,0
43864,2015,1,2,15,4,28,34,31,41,-19,15,1029,5,SE,4.92,0,0
43865,2015,1,2,16,4,55,63,59,85,-18,18,1028,4,SE,8.05,0,0
43866,2015,1,2,17,4,NA,101,104,108,-18,19,1028,3,SE,12.07,0,0
43867,2015,1,2,18,4,NA,89,86,87,-17,21,1028,3,cv,4.02,0,0
43868,2015,1,2,19,4,66,87,82,102,-18,22,1028,1,SE,1.79,0,0
43869,2015,1,2,20,4,115,109,103,117,-17,24,1027,1,SE,4.92,0,0
43870,2015,1,2,21,4,131,118,112,125,-16,33,1027,-2,SE,6.71,0,0
43871,2015,1,2,22,4,143,131,121,145,-15,39,1026,-3,SE,7.6,0,0
43872,2015,1,2,23,4,159,150,132,157,-15,42,1025,-4,cv,0.89,0,0
43873,2015,1,3,0,4,170,171,144,163,-15,45,1024,-5,cv,1.34,0,0
43874,2015,1,3,1,4,185,179,156,176,-15,48,1023,-6,SE,1.79,0,0
43875,2015,1,3,2,4,205,191,165,193,-16,48,1023,-7,cv,0.89,0,0
43876,2015,1,3,3,4,224,192,169,198,-15,57,1022,-8,SE,1.79,0,0
43877,2015,1,3,4,4,192,198,176,214,-15,57,1021,-8,NE,0.89,0,0
43878,2015,1,3,5,4,189,209,194,222,-14,57,1020,-7,NE,1.78,0,0
43879,2015,1,3,6,4,203,212,195,209,-13,62,1020,-7,NW,0.89,0,0
43880,2015,1,3,7,4,190,207,193,201,-13,53,1019,-5,cv,0.89,0,0
43881,2015,1,3,8,4,177,190,168,179,-13,53,1019,-5,cv,1.78,0,0
43882,2015,1,3,9,4,154,165,154,169,-12,53,1019,-4,NW,0.89,0,0
43883,2015,1,3,10,4,136,162,136,147,-12,46,1018,-2,NE,0.89,0,0
43884,2015,1,3,11,4,152,161,135,158,-12,42,1017,-1,NE,2.68,0,0
43885,2015,1,3,12,4,172,176,152,170,-14,31,1016,1,cv,0.89,0,0
43886,2015,1,3,13,4,180,183,153,182,-14,29,1015,2,cv,1.78,0,0
43887,2015,1,3,14,4,184,185,161,172,-14,27,1014,3,cv,2.67,0,0
43888,2015,1,3,15,4,172,191,169,178,-14,27,1014,3,cv,3.56,0,0
43889,2015,1,3,16,4,166,196,163,193,-15,25,1014,3,SE,1.79,0,0
43890,2015,1,3,17,4,222,224,184,214,-15,31,1014,0,NE,0.89,0,0
43891,2015,1,3,18,4,245,246,204,241,-13,42,1014,-2,cv,0.89,0,0
43892,2015,1,3,19,4,266,306,222,262,-13,49,1015,-4,cv,1.78,0,0
43893,2015,1,3,20,4,286,303,249,264,-11,58,1015,-4,cv,2.67,0,0
43894,2015,1,3,21,4,294,306,248,305,-12,53,1015,-4,cv,3.12,0,0
43895,2015,1,3,22,4,304,347,252,290,-12,62,1015,-6,cv,4.01,0,0
43896,2015,1,3,23,4,276,389,299,322,-13,62,1015,-7,NW,1.79,0,0
43897,2015,1,4,0,4,269,439,321,272,-13,62,1015,-7,NW,3.58,0,0
43898,2015,1,4,1,4,227,375,278,247,-13,62,1015,-7,NW,6.71,0,0
43899,2015,1,4,2,4,247,321,238,241,-13,57,1015,-6,NW,9.84,0,0
43900,2015,1,4,3,4,198,280,200,206,-13,57,1016,-6,NW,12.97,0,0
43901,2015,1,4,4,4,145,208,167,163,-14,49,1016,-5,NW,14.76,0,0
43902,2015,1,4,5,4,115,152,131,137,-14,57,1015,-7,NE,1.79,0,0
43903,2015,1,4,6,4,116,143,116,144,-14,61,1015,-8,NW,4.02,0,0
43904,2015,1,4,7,4,149,180,126,166,-14,53,1016,-6,NE,1.79,0,0
43905,2015,1,4,8,4,126,180,130,160,-13,49,1016,-4,cv,1.79,0,0
43906,2015,1,4,9,4,109,151,104,115,-12,42,1017,-1,SE,3.13,0,0
43907,2015,1,4,10,4,141,115,98,106,-14,33,1018,0,SE,4.92,0,0
43908,2015,1,4,11,4,95,116,94,107,-14,27,1018,3,cv,0.89,0,0
43909,2015,1,4,12,4,95,127,102,112,-14,22,1017,6,NW,1.79,0,0
43910,2015,1,4,13,4,101,125,102,114,-14,19,1016,8,cv,0.89,0,0
43911,2015,1,4,14,4,122,159,NA,158,-13,20,1016,8,SE,1.79,0,0
43912,2015,1,4,15,4,167,194,NA,176,-14,19,1016,8,SE,4.92,0,0
43913,2015,1,4,16,4,196,210,NA,195,-13,24,1016,6,SE,6.71,0,0
43914,2015,1,4,17,4,212,238,160,225,-13,25,1016,5,SE,9.84,0,0
43915,2015,1,4,18,4,286,286,284,269,-12,30,1016,4,cv,0.89,0,0
43916,2015,1,4,19,4,327,301,322,305,-11,40,1016,1,NE,0.89,0,0
43917,2015,1,4,20,4,345,342,344,360,-10,43,1017,1,cv,0.89,0,0
43918,2015,1,4,21,4,332,304,328,279,-9,50,1018,0,NE,0.89,0,0
43919,2015,1,4,22,4,251,338,312,321,-9,47,1017,1,cv,0.89,0,0
43920,2015,1,4,23,4,245,332,306,250,-9,50,1017,0,cv,1.34,0,0
43921,2015,1,5,0,4,188,255,253,171,-9,47,1017,1,cv,2.23,0,0
43922,2015,1,5,1,4,144,228,202,146,-9,43,1017,2,cv,3.12,0,0
43923,2015,1,5,2,4,148,204,170,150,-9,50,1017,0,cv,3.57,0,0
43924,2015,1,5,3,4,149,189,159,142,-9,47,1016,1,cv,4.02,0,0
43925,2015,1,5,4,4,130,192,151,148,-8,58,1015,-1,cv,4.91,0,0
43926,2015,1,5,5,4,187,172,153,186,-8,54,1015,0,NW,0.89,0,0
43927,2015,1,5,6,4,194,195,155,178,-7,63,1016,-1,cv,0.89,0,0
43928,2015,1,5,7,4,169,192,170,153,-7,59,1015,0,NW,3.13,0,0
43929,2015,1,5,8,4,NA,201,150,159,-8,50,1016,1,NW,4.92,0,0
43930,2015,1,5,9,4,143,235,168,185,-9,40,1016,3,NW,6.71,0,0
43931,2015,1,5,10,4,NA,185,169,181,-9,35,1017,5,NW,9.84,0,0
43932,2015,1,5,11,4,NA,184,155,139,-9,30,1017,7,NW,13.86,0,0
43933,2015,1,5,12,4,26,27,38,36,-9,26,1017,9,NE,3.13,0,0
43934,2015,1,5,13,4,25,18,27,22,-12,18,1017,11,NW,4.92,0,0
43935,2015,1,5,14,4,16,3,16,14,-14,16,1018,10,NW,13.86,0,0
43936,2015,1,5,15,4,9,3,14,15,-14,18,1019,9,NW,22.8,0,0
43937,2015,1,5,16,4,10,3,16,12,-16,16,1021,8,NW,29.95,0,0
43938,2015,1,5,17,4,6,3,10,9,-19,15,1023,5,NW,39.78,0,0
43939,2015,1,5,18,4,5,3,10,25,-18,18,1024,4,NW,47.83,0,0
43940,2015,1,5,19,4,7,7,6,29,-21,15,1026,3,NW,56.77,0,0
43941,2015,1,5,20,4,6,8,3,27,-22,16,1027,1,NW,65.71,0,0
43942,2015,1,5,21,4,3,4,3,23,-23,14,1028,1,NW,74.65,0,0
43943,2015,1,5,22,4,5,4,3,15,-23,15,1028,0,NW,85.83,0,0
43944,2015,1,5,23,4,8,3,7,16,-24,15,1029,-1,NW,93.88,0,0
43945,2015,1,6,0,4,6,9,9,16,-24,20,1029,-5,NW,99.69,0,0
43946,2015,1,6,1,4,6,6,11,15,-24,19,1030,-4,NW,106.84,0,0
43947,2015,1,6,2,4,5,8,7,16,-23,18,1030,-2,NW,114.89,0,0
43948,2015,1,6,3,4,6,8,10,20,-24,19,1030,-4,NE,1.79,0,0
43949,2015,1,6,4,4,5,6,7,10,-23,22,1030,-5,NE,3.58,0,0
43950,2015,1,6,5,4,6,8,12,17,-22,21,1030,-3,NW,4.92,0,0
43951,2015,1,6,6,4,9,8,8,16,-23,24,1029,-6,cv,0.89,0,0
43952,2015,1,6,7,4,8,13,9,22,-23,24,1029,-6,cv,1.78,0,0
43953,2015,1,6,8,4,9,11,16,23,-21,23,1030,-3,NW,1.79,0,0
43954,2015,1,6,9,4,10,11,17,17,-19,22,1030,0,NW,5.81,0,0
43955,2015,1,6,10,4,15,13,15,23,-22,17,1029,0,NE,3.13,0,0
43956,2015,1,6,11,4,10,14,15,13,-22,13,1028,3,NW,5.81,0,0
43957,2015,1,6,12,4,12,NA,9,17,-22,12,1027,4,NW,12.96,0,0
43958,2015,1,6,13,4,23,NA,17,32,-22,12,1026,5,NW,20.11,0,0
43959,2015,1,6,14,4,26,NA,33,36,-21,12,1025,6,NW,27.26,0,0
43960,2015,1,6,15,4,32,NA,33,41,-21,13,1025,5,SE,4.02,0,0
43961,2015,1,6,16,4,47,NA,51,54,-21,13,1025,5,SE,8.94,0,0
43962,2015,1,6,17,4,57,NA,62,64,-21,15,1025,3,SE,12.96,0,0
43963,2015,1,6,18,4,56,NA,57,61,-22,13,1026,3,SE,16.09,0,0
43964,2015,1,6,19,4,84,NA,78,92,-21,16,1026,2,SE,19.22,0,0
43965,2015,1,6,20,4,103,NA,103,102,-18,28,1026,-2,SE,21.01,0,0
43966,2015,1,6,21,4,100,NA,101,96,-20,17,1026,2,NW,3.13,0,0
43967,2015,1,6,22,4,107,NA,106,112,-18,38,1026,-6,NW,4.92,0,0
43968,2015,1,6,23,4,120,NA,114,121,-17,35,1027,-4,cv,0.89,0,0
43969,2015,1,7,0,4,111,NA,126,134,-17,48,1027,-8,NW,3.13,0,0
43970,2015,1,7,1,4,111,NA,137,159,-17,38,1027,-5,NW,4.02,0,0
43971,2015,1,7,2,4,105,NA,116,109,-17,44,1027,-7,NW,7.15,0,0
43972,2015,1,7,3,4,63,NA,77,57,-17,44,1027,-7,NW,10.28,0,0
43973,2015,1,7,4,4,26,NA,66,30,-17,44,1027,-7,NW,12.07,0,0
43974,2015,1,7,5,4,16,NA,35,20,-17,44,1027,-7,NW,13.86,0,0
43975,2015,1,7,6,4,15,NA,23,29,-14,61,1028,-8,cv,0.89,0,0
43976,2015,1,7,7,4,20,NA,27,29,-17,44,1028,-7,NW,1.79,0,0
43977,2015,1,7,8,4,22,NA,26,41,-15,57,1030,-8,NE,1.79,0,0
43978,2015,1,7,9,4,33,NA,38,51,-15,39,1031,-3,NW,1.79,0,0
43979,2015,1,7,10,4,47,NA,61,68,-18,22,1031,1,cv,0.89,0,0
43980,2015,1,7,11,4,58,NA,70,74,-19,19,1031,2,cv,1.78,0,0
43981,2015,1,7,12,4,50,NA,56,58,-20,16,1030,3,SE,1.79,0,0
43982,2015,1,7,13,4,63,61,66,59,-20,16,1030,3,SE,3.58,0,0
43983,2015,1,7,14,4,61,71,73,73,-20,16,1030,3,SE,5.37,0,0
43984,2015,1,7,15,4,66,72,67,74,-20,16,1030,3,cv,0.89,0,0
43985,2015,1,7,16,4,73,87,81,84,-20,16,1031,3,cv,1.78,0,0
43986,2015,1,7,17,4,75,107,82,94,-20,20,1031,0,SE,0.89,0,0
43987,2015,1,7,18,4,65,106,72,85,-17,30,1031,-2,cv,0.45,0,0
43988,2015,1,7,19,4,65,111,76,85,-15,42,1031,-4,cv,1.34,0,0
43989,2015,1,7,20,4,67,119,84,107,-15,42,1032,-4,SE,0.89,0,0
43990,2015,1,7,21,4,92,110,101,109,-10,58,1032,-3,SE,2.68,0,0
43991,2015,1,7,22,4,75,134,99,74,-10,67,1031,-5,cv,0.89,0,0
43992,2015,1,7,23,4,69,64,59,65,-13,62,1032,-7,SE,1.79,0,0
43993,2015,1,8,0,4,60,74,70,78,-10,67,1032,-5,cv,0.89,0,0
43994,2015,1,8,1,4,67,78,70,66,-10,67,1032,-5,SE,0.89,0,0
43995,2015,1,8,2,4,86,77,79,86,-11,73,1032,-7,NE,0.89,0,0
43996,2015,1,8,3,4,104,97,100,132,-10,67,1032,-5,NE,2.68,0,0
43997,2015,1,8,4,4,135,170,168,203,-11,67,1031,-6,cv,0.89,0,0
43998,2015,1,8,5,4,156,208,210,197,-11,67,1031,-6,cv,1.78,0,0
43999,2015,1,8,6,4,161,200,185,151,-12,72,1031,-8,NW,3.13,0,0
44000,2015,1,8,7,4,147,188,160,143,-14,78,1032,-11,NE,1.79,0,0
44001,2015,1,8,8,4,96,178,165,122,-14,61,1032,-8,NW,1.79,0,0
44002,2015,1,8,9,4,91,152,122,106,-12,57,1032,-5,NW,3.58,0,0
44003,2015,1,8,10,4,78,90,96,84,-12,46,1031,-2,NW,5.37,0,0
44004,2015,1,8,11,4,84,99,96,91,-13,34,1031,1,NW,7.16,0,0
44005,2015,1,8,12,4,90,103,109,105,-13,34,1029,1,NW,8.95,0,0
44006,2015,1,8,13,4,128,130,124,124,-13,29,1028,3,cv,0.89,0,0
44007,2015,1,8,14,4,150,193,201,178,-14,23,1027,5,cv,2.68,0,0
44008,2015,1,8,15,4,140,179,161,140,-11,30,1027,5,SE,3.13,0,0
44009,2015,1,8,16,4,168,149,175,166,-10,32,1027,5,SE,4.92,0,0
44010,2015,1,8,17,4,182,165,181,159,-11,37,1027,2,cv,0.89,0,0
44011,2015,1,8,18,4,193,169,185,165,-10,46,1027,0,cv,1.78,0,0
44012,2015,1,8,19,4,188,245,189,210,-10,58,1028,-3,NE,1.79,0,0
44013,2015,1,8,20,4,199,403,327,358,-10,58,1028,-3,cv,0.89,0,0
44014,2015,1,8,21,4,292,408,383,359,-12,57,1028,-5,cv,1.78,0,0
44015,2015,1,8,22,4,335,399,379,356,-12,57,1028,-5,NW,1.79,0,0
44016,2015,1,8,23,4,282,381,367,259,-11,62,1028,-5,NW,2.68,0,0
44017,2015,1,9,0,4,222,409,309,226,-12,62,1029,-6,NW,5.81,0,0
44018,2015,1,9,1,4,203,313,245,294,-11,58,1029,-4,NW,8.94,0,0
44019,2015,1,9,2,4,190,282,252,250,-11,62,1029,-5,NW,10.73,0,0
44020,2015,1,9,3,4,126,272,251,215,-12,67,1029,-7,NW,13.86,0,0
44021,2015,1,9,4,4,57,169,127,55,-11,58,1029,-4,NW,17.88,0,0
44022,2015,1,9,5,4,30,50,36,40,-12,57,1029,-5,NW,18.77,0,0
44023,2015,1,9,6,4,9,78,26,16,-14,57,1029,-7,NE,1.79,0,0
44024,2015,1,9,7,4,6,38,10,11,-13,49,1030,-4,NW,4.02,0,0
44025,2015,1,9,8,4,8,4,12,12,-14,45,1030,-4,NW,7.15,0,0
44026,2015,1,9,9,4,10,3,13,16,-13,39,1031,-1,NW,12.07,0,0
44027,2015,1,9,10,4,10,5,13,16,-16,24,1032,2,NW,15.2,0,0
44028,2015,1,9,11,4,8,3,12,13,-17,18,1031,5,NW,18.33,0,0
44029,2015,1,9,12,4,7,3,12,11,-18,17,1030,5,NW,27.27,0,0
44030,2015,1,9,13,4,7,3,7,14,-18,15,1029,6,NW,34.42,0,0
44031,2015,1,9,14,4,7,3,10,10,-18,14,1028,7,NW,41.57,0,0
44032,2015,1,9,15,4,7,3,11,13,-18,14,1028,7,NW,47.38,0,0
44033,2015,1,9,16,4,7,3,12,21,-17,16,1028,7,NW,53.19,0,0
44034,2015,1,9,17,4,5,7,13,22,-17,17,1028,6,NW,58.11,0,0
44035,2015,1,9,18,4,61,22,28,43,-17,16,1028,7,NW,61.24,0,0
44036,2015,1,9,19,4,119,82,102,101,-16,24,1028,2,cv,0.89,0,0
44037,2015,1,9,20,4,162,128,143,163,-14,36,1027,-1,cv,1.34,0,0
44038,2015,1,9,21,4,273,260,276,260,-14,45,1027,-4,cv,2.23,0,0
44039,2015,1,9,22,4,289,291,298,283,-13,53,1027,-5,cv,2.68,0,0
44040,2015,1,9,23,4,310,316,326,290,-13,49,1026,-4,cv,3.57,0,0
44041,2015,1,10,0,4,281,281,295,247,-14,49,1026,-5,NW,1.79,0,0
44042,2015,1,10,1,4,295,260,280,270,-14,57,1026,-7,cv,0.89,0,0
44043,2015,1,10,2,4,320,276,305,291,-13,57,1025,-6,NW,0.89,0,0
44044,2015,1,10,3,4,323,285,311,227,-14,53,1025,-6,NW,1.78,0,0
44045,2015,1,10,4,4,306,204,251,209,-14,61,1024,-8,NW,3.57,0,0
44046,2015,1,10,5,4,264,173,170,174,-15,61,1024,-9,cv,0.89,0,0
44047,2015,1,10,6,4,237,178,172,166,-14,57,1023,-7,cv,1.78,0,0
44048,2015,1,10,7,4,218,208,198,182,-14,67,1023,-9,cv,2.67,0,0
44049,2015,1,10,8,4,195,202,194,193,-14,61,1023,-8,cv,3.56,0,0
44050,2015,1,10,9,4,192,219,204,258,-12,53,1024,-4,SE,0.89,0,0
44051,2015,1,10,10,4,200,198,223,230,-12,39,1023,0,cv,0.89,0,0
44052,2015,1,10,11,4,116,241,213,197,-14,27,1022,3,cv,1.78,0,0
44053,2015,1,10,12,4,130,253,250,185,-13,19,1021,9,cv,3.57,0,0
44054,2015,1,10,13,4,197,126,128,156,-14,14,1019,12,NW,4.02,0,0
44055,2015,1,10,14,4,74,150,176,137,-16,11,1019,13,NW,11.17,0,0
44056,2015,1,10,15,4,82,139,114,75,-16,12,1019,12,NW,20.11,0,0
44057,2015,1,10,16,4,103,150,82,92,-15,13,1019,12,NW,28.16,0,0
44058,2015,1,10,17,4,89,81,91,82,-17,12,1020,11,NW,33.97,0,0
44059,2015,1,10,18,4,177,105,136,162,-16,13,1020,11,SE,4.02,0,0
44060,2015,1,10,19,4,226,168,203,212,-16,15,1021,9,NW,3.13,0,0
44061,2015,1,10,20,4,265,211,229,233,-15,27,1022,2,cv,0.89,0,0
44062,2015,1,10,21,4,246,228,230,232,-14,39,1022,-2,NW,1.79,0,0
44063,2015,1,10,22,4,114,161,119,57,-15,20,1024,6,NE,4.92,0,0
44064,2015,1,10,23,4,25,74,56,23,-16,18,1025,6,NE,9.84,0,0
44065,2015,1,11,0,4,5,20,15,7,-15,21,1026,5,NE,14.76,0,0
44066,2015,1,11,1,4,3,11,7,6,-14,25,1027,4,NE,20.57,0,0
44067,2015,1,11,2,4,3,6,6,7,-14,27,1028,3,NE,26.38,0,0
44068,2015,1,11,3,4,3,6,7,9,-15,25,1029,3,NE,31.3,0,0
44069,2015,1,11,4,4,4,7,7,12,-17,22,1029,2,NE,36.22,0,0
44070,2015,1,11,5,4,3,5,6,9,-17,24,1030,1,NE,40.24,0,0
44071,2015,1,11,6,4,3,4,6,6,-17,24,1031,1,NE,44.26,0,0
44072,2015,1,11,7,4,3,9,3,9,-17,24,1032,1,NE,49.18,0,0
44073,2015,1,11,8,4,3,8,5,16,-17,24,1033,1,NE,52.31,0,0
44074,2015,1,11,9,4,3,13,8,13,-17,22,1034,2,cv,0.89,0,0
44075,2015,1,11,10,4,8,10,12,8,-17,19,1035,4,cv,1.78,0,0
44076,2015,1,11,11,4,6,11,8,8,-16,21,1035,4,cv,2.67,0,0
44077,2015,1,11,12,4,12,14,19,14,-17,18,1034,5,cv,4.46,0,0
44078,2015,1,11,13,4,21,22,21,22,-16,20,1033,5,cv,5.35,0,0
44079,2015,1,11,14,4,23,30,30,28,-16,18,1033,6,cv,7.14,0,0
44080,2015,1,11,15,4,21,32,30,31,-16,18,1033,6,cv,8.93,0,0
44081,2015,1,11,16,4,37,33,32,28,-15,20,1033,6,cv,9.82,0,0
44082,2015,1,11,17,4,64,40,47,62,-16,20,1033,5,SE,3.13,0,0
44083,2015,1,11,18,4,86,78,82,81,-14,27,1034,3,SE,4.02,0,0
44084,2015,1,11,19,4,101,89,84,90,-14,31,1035,1,cv,0.89,0,0
44085,2015,1,11,20,4,99,87,91,89,-9,43,1035,2,SE,1.79,0,0
44086,2015,1,11,21,4,90,92,94,89,-8,44,1036,3,SE,4.92,0,0
44087,2015,1,11,22,4,105,100,99,105,-11,53,1036,-3,SE,5.81,0,0
44088,2015,1,11,23,4,104,89,86,84,-8,58,1037,-1,SE,8.94,0,0
44089,2015,1,12,0,4,67,72,69,60,-9,58,1037,-2,SE,10.73,0,0
44090,2015,1,12,1,4,64,58,59,57,-9,63,1037,-3,SE,12.52,0,0
44091,2015,1,12,2,4,80,53,69,77,-10,67,1037,-5,SE,14.31,0,0
44092,2015,1,12,3,4,84,57,68,82,-10,62,1037,-4,SE,16.1,0,0
44093,2015,1,12,4,4,86,67,83,82,-9,73,1037,-5,SE,17.89,0,0
44094,2015,1,12,5,4,87,86,88,95,-9,68,1037,-4,SE,19.68,0,0
44095,2015,1,12,6,4,97,108,99,103,-10,73,1038,-6,SE,20.57,0,0
44096,2015,1,12,7,4,102,120,110,115,-9,79,1038,-6,SE,22.36,0,0
44097,2015,1,12,8,4,105,122,109,110,-11,73,1038,-7,SE,23.25,0,0
44098,2015,1,12,9,4,115,124,115,120,-8,73,1039,-4,NE,1.79,0,0
44099,2015,1,12,10,4,135,145,137,144,-7,63,1040,-1,SE,1.79,0,0
44100,2015,1,12,11,4,146,162,155,148,-7,59,1039,0,SE,3.58,0,0
44101,2015,1,12,12,4,124,116,114,114,-7,55,1038,1,SE,6.71,0,0
44102,2015,1,12,13,4,94,104,93,94,-9,40,1037,3,SE,8.5,0,0
44103,2015,1,12,14,4,83,NA,87,86,-11,34,1036,3,cv,3.13,0,0
44104,2015,1,12,15,4,72,45,83,86,-12,30,1035,4,SE,3.13,0,0
44105,2015,1,12,16,4,60,76,74,74,-13,29,1035,3,SE,4.92,0,0
44106,2015,1,12,17,4,59,76,64,69,-13,34,1035,1,cv,0.89,0,0
44107,2015,1,12,18,4,62,65,59,66,-12,42,1035,-1,SE,0.89,0,0
44108,2015,1,12,19,4,66,75,69,109,-12,46,1036,-2,SE,2.68,0,0
44109,2015,1,12,20,4,142,164,131,206,-13,53,1036,-5,NE,0.89,0,0
44110,2015,1,12,21,4,188,240,206,200,-10,62,1036,-4,NE,1.78,0,0
44111,2015,1,12,22,4,129,205,175,162,-10,62,1035,-4,SE,0.89,0,0
44112,2015,1,12,23,4,108,192,162,161,-11,67,1035,-6,NE,0.89,0,0
44113,2015,1,13,0,4,97,207,165,156,-10,62,1034,-4,SE,0.89,0,0
44114,2015,1,13,1,4,120,210,156,204,-9,68,1034,-4,SE,1.78,0,0
44115,2015,1,13,2,4,208,194,194,179,-9,73,1034,-5,NE,0.89,0,0
44116,2015,1,13,3,4,183,194,174,166,-9,73,1034,-5,cv,0.45,0,0
44117,2015,1,13,4,4,168,165,160,128,-9,85,1033,-7,cv,0.9,0,0
44118,2015,1,13,5,4,130,163,147,136,-10,73,1033,-6,cv,1.79,0,0
44119,2015,1,13,6,4,110,156,142,150,-10,73,1033,-6,NW,1.79,0,0
44120,2015,1,13,7,4,127,172,141,157,-11,67,1033,-6,NW,2.68,0,0
44121,2015,1,13,8,4,126,197,158,152,-11,67,1034,-6,NW,4.47,0,0
44122,2015,1,13,9,4,117,192,169,149,-10,67,1034,-5,NW,6.26,0,0
44123,2015,1,13,10,4,111,145,131,135,-8,63,1034,-2,cv,0.89,0,0
44124,2015,1,13,11,4,115,148,136,130,-5,74,1033,-1,SE,1.79,0,0
44125,2015,1,13,12,4,128,153,133,132,-6,59,1032,1,cv,1.79,0,0
44126,2015,1,13,13,4,144,165,154,159,-7,55,1031,1,NE,1.79,0,0
44127,2015,1,13,14,4,166,197,181,183,-7,51,1030,2,SE,1.79,0,0
44128,2015,1,13,15,4,189,212,204,202,-7,47,1030,3,SE,3.58,0,0
44129,2015,1,13,16,4,189,203,187,190,-7,51,1030,2,cv,0.89,0,0
44130,2015,1,13,17,4,190,210,190,201,-7,55,1030,1,SE,0.89,0,0
44131,2015,1,13,18,4,217,281,221,234,-6,68,1031,-1,cv,0.45,0,0
44132,2015,1,13,19,4,206,315,244,254,-7,79,1031,-4,NE,0.89,0,0
44133,2015,1,13,20,4,228,308,260,257,-7,85,1031,-5,NE,1.78,0,0
44134,2015,1,13,21,4,238,372,291,331,-9,73,1031,-5,SE,0.89,0,0
44135,2015,1,13,22,4,267,448,376,350,-6,85,1032,-4,cv,0.89,0,0
44136,2015,1,13,23,4,310,456,386,334,-9,79,1031,-6,cv,1.78,0,0
44137,2015,1,14,0,4,319,421,351,287,-8,85,1031,-6,NW,0.89,0,0
44138,2015,1,14,1,4,292,415,303,272,-8,85,1031,-6,NE,0.89,0,0
44139,2015,1,14,2,4,264,399,301,259,-9,85,1031,-7,NW,1.79,0,0
44140,2015,1,14,3,4,213,310,259,202,-8,79,1031,-5,NW,3.58,0,0
